p_signal signal noisy_signal
-0.145209 0 -0.365897
-1.84935 0.065 -3.19545
0.564327 0.13 2.18287
-1.39455 0.195 -3.03057
-0.558967 0.26 0.359808
0.987239 0.325 2.55951
1.00819 0.39 0.490818
0.372406 0.455 -1.12491
1.0226 0.52 1.9076
1.23594 0.585 1.1871
3.15631 0.65 7.02403
3.11286 0.715 1.83016
3.59862 0.78 3.84289
3.80649 0.845 3.19522
3.34099 0.91 0.526474
2.83585 0.975 -0.0354398
2.21377 1.04 -1.02146
2.8946 1.105 5.03026
2.20105 1.17 -1.63753
0.690163 1.235 -6.7821
0.4017 1.3 -1.01822
0.290702 1.365 -0.199697
-0.5039 1.43 -4.61586
-0.23615 1.495 1.6461
-0.408757 1.56 -1.12387
-0.175404 1.625 1.5855
-0.0310321 1.69 1.13596
-0.0905883 1.755 -0.283363
0.0977729 1.82 1.59878
0.620352 1.885 4.45974
0.921681 1.95 3.08074
0.805126 2.015 -0.232816
1.43906 2.08 6.28692
1.82079 2.145 4.5627
1.8055 2.21 1.2043
2.11352 2.275 4.29271
2.56433 2.34 5.97457
2.63433 2.405 2.54444
2.60738 2.47 1.61466
2.99531 2.535 5.9876
2.67365 2.6 -1.34283
2.70308 2.665 2.27175
2.64521 2.73 1.31712
2.73741 2.795 3.01181
3.23363 2.86 7.8798
3.28014 2.925 2.89427
3.23163 2.99 1.77318
3.21249 3.055 2.10923
3.13083 3.12 1.29912
2.83209 3.185 -1.60398
2.69428 3.25 0.285636
2.96408 3.315 5.70642
3.28763 3.38 6.6941
3.07728 3.445 -0.531708
2.95794 3.51 0.594753
3.37264 3.575 8.28371
3.48128 3.64 4.11622
3.52361 3.705 3.21929
3.8764 3.77 8.02452
3.55611 3.835 -2.14592
3.74257 3.9 5.60387
3.81383 3.965 3.92256
3.98205 4.03 5.5768
3.8349 4.095 0.502371
4.11126 4.16 7.51024
4.27851 4.225 5.89699
4.09563 4.29 -0.0171673
4.15063 4.355 4.01292
4.38359 4.42 7.24302
4.41599 4.485 3.82848
4.41737 4.55 3.29629
4.32001 4.615 1.47002
4.37572 4.68 4.27546
4.28003 4.745 1.44217
4.47825 4.81 7.04832
4.54362 4.875 4.62767
4.63596 4.94 5.22755
4.70284 5.005 4.80477
4.78229 5.07 5.12653
5.02476 5.135 8.56023
5.07266 5.2 4.72645
5.33261 5.265 9.24807
5.55281 5.33 8.63648
5.67612 5.395 6.74671
5.75337 5.46 5.85783
5.82009 5.525 5.70203
5.89582 5.59 5.97075
5.70822 5.655 0.0976875
5.90376 5.72 8.69181
5.93621 5.785 5.10652
6.11848 5.85 8.64021
6.3041 5.915 8.88772
6.26718 5.98 3.75429
6.33164 6.045 6.17291
6.63793 6.11 12.1243
6.67613 6.175 5.80972
6.82363 6.24 8.56744
6.53386 6.305 -2.26472
6.75381 6.37 10.4059
6.77971 6.435 5.6417
6.78016 6.5 5.01596
6.79227 6.565 5.32908
6.78697 6.63 4.88943
7.03029 6.695 11.5043
7.19086 6.76 9.5054
7.30136 6.825 8.2985
7.22027 6.89 3.16636
7.3398 6.955 8.63932
7.45658 7.02 8.67614
7.49811 7.085 6.67359
7.45689 7.15 4.37362
7.41224 7.215 4.2481
7.40052 7.28 5.1671
7.55838 7.345 10.0983
7.58041 7.41 6.25985
7.76458 7.475 11.0853
7.78831 7.54 6.46778
7.81522 7.605 6.59277
7.83214 7.67 6.32168
7.86763 7.735 6.9131
8.04712 7.8 11.3933
8.1606 7.865 9.50722
8.28708 7.93 10.0225
8.47117 7.995 11.9617
8.37142 8.06 3.09435
8.51475 8.125 10.8162
8.57924 8.19 8.40058
8.54264 8.255 5.17123
8.754 8.32 13.2909
8.87636 8.385 10.5397
8.94675 8.45 8.92308
8.98967 8.515 8.0707
8.8808 8.58 2.98026
8.99137 8.645 10.3748
9.26622 8.71 16.1215
9.39088 8.775 11.1761
9.27698 8.84 2.98211
9.24551 8.905 5.78352
9.12363 8.97 2.56931
9.10099 9.035 6.00301
9.15209 9.1 8.63428
9.19431 9.165 8.36683
9.35596 9.23 12.7521
9.49323 9.295 12.0102
9.72111 9.36 15.4768
9.73978 9.425 7.92511
9.71349 9.49 6.271
9.80083 9.555 10.5277
9.88654 9.62 10.551
9.77996 9.685 3.30986
