rk pk
-0.145209 0.5
-1.84935 -0.995669
0.564327 0.726949
-1.39455 -0.288993
-0.558967 0.0486275
0.987239 0.421112
1.00819 0.336123
0.372406 0.155925
1.0226 0.237268
1.23594 0.233727
3.15631 0.46055
3.11286 0.398429
3.59862 0.408366
3.80649 0.387182
3.34099 0.303079
2.83585 0.228327
2.21377 0.15428
2.8946 0.197593
2.20105 0.128128
0.690163 0.00671663
0.4017 -0.0141137
0.290702 -0.0206419
-0.5039 -0.0705381
-0.23615 -0.0496321
-0.408757 -0.0569298
-0.175404 -0.0403617
-0.0310321 -0.0302059
-0.0905883 -0.0317622
0.0977729 -0.02049
0.620352 0.00639869
0.921681 0.0205334
0.805126 0.0141673
1.43906 0.0420814
1.82079 0.056932
1.8055 0.0538635
2.11352 0.0643628
2.56433 0.0798978
2.63433 0.07951
2.60738 0.0754489
2.99531 0.0870736
2.67365 0.0722365
2.70308 0.0707195
2.64521 0.0662673
2.73741 0.0671451
3.23363 0.0813438
3.28014 0.0802162
3.23163 0.0761364
3.21249 0.0731796
3.13083 0.0684718
2.83209 0.0575287
2.69428 0.0518212
2.96408 0.0580683
3.28763 0.0655342
3.07728 0.0579188
2.95794 0.0531143
3.37264 0.0627407
3.48128 0.0639414
3.52361 0.0633858
3.8764 0.0707009
3.55611 0.060982
3.74257 0.0640501
3.81383 0.0642235
3.98205 0.0666861
3.8349 0.0617015
4.11126 0.0666286
4.27851 0.0689034
4.09563 0.0632959
4.15063 0.0631137
4.38359 0.0667873
4.41599 0.0660541
4.41737 0.0646946
4.32001 0.0613349
4.37572 0.0612199
4.28003 0.0580546
4.47825 0.0608446
4.54362 0.0609334
4.63596 0.0615424
4.70284 0.0616446
4.78229 0.0619811
5.02476 0.0653504
5.07266 0.0650286
5.33261 0.0685786
5.55281 0.071307
5.67612 0.0722316
5.75337 0.0723197
5.82009 0.0722225
5.89582 0.0722828
5.70822 0.067871
5.90376 0.070014
5.93621 0.0693905
6.11848 0.0712438
6.3041 0.0731013
6.26718 0.0713336
6.33164 0.0712243
6.63793 0.0749218
6.67613 0.0743501
6.82363 0.075477
6.53386 0.0699073
6.75381 0.0721724
6.77971 0.0714807
6.78016 0.0704298
6.79227 0.0695752
6.78697 0.0684886
7.03029 0.0710013
7.19086 0.0722764
7.30136 0.0728154
7.22027 0.0706653
7.3398 0.0713417
7.45658 0.0719649
7.49811 0.0715513
7.45689 0.0700324
7.41224 0.0685015
7.40052 0.0674401
7.55838 0.0686259
7.58041 0.0680201
7.76458 0.0695172
7.78831 0.0689321
7.81522 0.0683996
7.83214 0.0677527
7.86763 0.0673507
8.04712 0.0687365
8.1606 0.0692851
8.28708 0.0699805
8.47117 0.0713566
8.37142 0.0693095
8.51475 0.0701881
8.57924 0.070121
8.54264 0.068874
8.754 0.070526
8.87636 0.0711223
8.94675 0.071114
8.98967 0.0707945
8.8808 0.0687739
8.99137 0.0692405
9.26622 0.0715187
9.39088 0.0721033
9.27698 0.0700723
9.24551 0.0689715
9.12363 0.0669175
9.10099 0.0659605
9.15209 0.0658028
9.19431 0.0655544
9.35596 0.0665597
9.49323 0.0672944
9.72111 0.0689513
9.73978 0.0684361
9.71349 0.067472
9.80083 0.0676728
9.88654 0.0678539
9.77996 0.066114
